nl,code
define the function linenumbers with 2 arguments value and autoescape set to None.,"def linenumbers ( value , autoescape = None ) :"
substitute value for self.value.,self . value = value
"if self doesnt have '_queryset' attribute,","if not hasattr ( self , '_queryset' ) :"
substitute new_filenames for filelist.,filelist = new_filenames
"try,",try :
"string ""%s already exists, overlaying a project or app into an existing directory won't replace conflicting files"", where '%s"" is replaced with new_path. open old_path file in 'rb' mode, with file descriptor renamed to template_file,","with open ( old_path , 'rb' ) as template_file :"
import module struc.,import struct
from django.utils.six import StringIO into default name space.,from django . utils . six import StringIO
return EventHandler.modified_code.,return EventHandler . modified_code
substitute takes_context for self.takes_context.,self . takes_context = takes_context
from __future__ import absolute_import into default name space.,from __future__ import absolute_import
"sort the result and substitute it for options. for every option in options,",for option in options :
value is None.,value = None
"try,",try :
substitute TemplateDoesNotExist for self.find_template_cache dictionary value under the key key.,self . template_cache [ key ] = TemplateDoesNotExist
"call the function become_daemon with 2 arguments: our_home_dir set to the value under the 'workdir' key of options dictionary and,","become_daemon ( our_home_dir = options [ ""workdir"" ] , ** daemon_kwargs )"
derive the class TemplateSyntaxError form the base class Exception.,class TemplateSyntaxError ( Exception ) :
define the method __len__ with an argument self.,def __len__ ( self ) :
ns_pattern is an empty string.,ns_pattern = ''
month_field is a string '%s_month'.,month_field = '%s_month'
"if self.parsed is true,",if self . parsed :
"call the function func with unpacked dictionary kwargs as an argument, substitute the result for translated.",translated = func ( ** kwargs )
"substitute return value of call to the function _set_response_etag with response as an argument, for response.",response = _set_response_etag ( response )
return an empty string.,return ''
"call the function predicate with an argument item, use it as a key to get results dictionary value, append item to it.",results [ predicate ( item ) ] . append ( item )
"if attr equals any of the strings ""__file__"", ""__name__"" or ""__path__"" and self.mod is not contained in sys.modules,","if ( attr in ( ""__file__"" , ""__name__"" , ""__path__"" ) and self . mod not in sys . modules ) :"
extend errors list with e.error_list.,errors . extend ( e . error_list )
"if fields is true and f.name is not contained in fields,",if fields and f . name not in fields :
"call the klass method with fail_silently set to fail_silently and dictionary arguments kwds as arguments, return the result.","return klass ( fail_silently = fail_silently , ** kwds )"
"otherwise if field is contained in self.fields,",elif field in self . fields :
return result.,return result
"ISO_INPUT_FORMATS is a dictionary with 3 entries: tuple with an element string '%Y-%m-%d' for 'DATE_INPUT_FORMATS',","ISO_INPUT_FORMATS = { 'DATE_INPUT_FORMATS' : ( '%Y-%m-%d' , ) , 'TIME_INPUT_FORMATS' : ( '%H:%M:%S' , '%H:%M:%S.%f' , '%H:%M' ) , 'DATETIME_INPUT_FORMATS' : ( '%Y-%m-%d %H:%M:%S' , '%Y-%m-%d %H:%M:%S.%f' , '%Y-%m-%d %H:%M' , '%Y-%m-%d' ) , }"
import module datetime.,import datetime
"call the function getInnerText with an argument node, call the strip method on the result, substitute the result for field_value.",field_value = getInnerText ( node ) . strip ( )
from the base class of the class TypedMultipleChoiceField. define the method _coerce with arguments self and value.,"def _coerce ( self , value ) :"
"call the function force_text with an argument text, substitute the result for text.",text = force_text ( text )
"define the method __setattr__ with 3 arguments: self, name and value.","def __setattr__ ( self , name , value ) :"
"if old_style_list is true,",if old_style_list :
"call the method m.group with an argument string 'mon', convert the result to lowercase, use it as an argument for the call to the,",month = MONTHS . index ( m . group ( 'mon' ) . lower ( ) ) + 1
raise a NotImplementedError with an argument string 'subclasses of Serializer must provide a start_object() method'.,raise NotImplementedError ( 'subclasses of Serializer must provide a start_object() method' )
"and, if f.rel.toequals parent_model or f.rel.to is contained in result of the call to the method parent_model._meta.get_parent_list. if length of fks_to_parent is integer 1,",if len ( fks_to_parent ) == 1 :
return EndToken.,return EndToken
"append string ', ' to field_desc.","field_desc += ', '"
"define function no_style, without input arguments.",def no_style ( ) :
"if not,",else :
"call the method self.get_template_sources with 2 arguments template_name and template_dirs, for every filepath in the result,","for filepath in self . get_template_sources ( template_name , template_dirs ) :"
"get the value under the 'CONTENT_TYPE' key of environ dictionary, if the key doesnt exist get the empty string,","_ , content_params = cgi . parse_header ( environ . get ( 'CONTENT_TYPE' , '' ) )"
"if not,",else :
"raise an TemplateSyntaxError exception with an argument string ""'now' statement takes one argument"".","raise TemplateSyntaxError ( ""'now' statement takes one argument"" )"
"if number equals a integer 1 and self.allow_empty_first_page is true,",if number == 1 and self . allow_empty_first_page :
set the file position pointer at file_pos.,file . seek ( file_pos )
"if val is an instance of tuple,","if isinstance ( val , tuple ) :"
"if keys is true,",if keys :
call the method operations.extend with an argument smigration.operations.,operations . extend ( smigration . operations )
"description is a string ""An instance of the '%s' class"" with '%s' replaced by value of receiver.__class__.__name__.","description = ""An instance of the '%s' class"" % receiver . __class__ . __name__"
define the function infix with 2 arguments bp and func.,"def infix ( bp , func ) :"
media is an instance of Media class.,media = Media ( )
define the function get_library with an argument library_name.,def get_library ( library_name ) :
"raise an TemplateSyntaxError exception with an argument string ""'%s' received too many positional arguments"",","raise TemplateSyntaxError ( ""'%s' received too many positional arguments"" % name )"
define the function get_language_from_request with 2 arguments: request and check_path set to boolean False.,"def get_language_from_request ( request , check_path = False ) :"
derive the class CommandError from the base class Exception.,class CommandError ( Exception ) :
from django.core.serializers.base import SerializerDoesNotExist into default name space.,from django . core . serializers . base import SerializerDoesNotExist
